"density","qcloud","qrain","qvapor","theta","velocity:0","velocity:1","velocity:2","Points:0","Points:1","Points:2"
0,0,0,0,0,0,0,0,32053,6000,0
0,0,0,0,0,0,0,0,32304,6000,0
0,0,0,0,0,0,0,0,32554,6000,0
0,0,0,0,0,0,0,0,32805,6000,0
0,0,0,0,0,0,0,0,33055,6000,0
0,0,0,0,0,0,0,0,33306,6000,0
0,0,0,0,0,0,0,0,33556,6000,0
0,0,0,0,0,0,0,0,33806,6000,0
0,0,0,0,0,0,0,0,34057,6000,0
0,0,0,0,0,0,0,0,34307,6000,0
0,0,0,0,0,0,0,0,34558,6000,0
0,0,0,0,0,0,0,0,34808,6000,0
0,0,0,0,0,0,0,0,35058,6000,0
0,0,0,0,0,0,0,0,35309,6000,0
0,0,0,0,0,0,0,0,35559,6000,0
0,0,0,0,0,0,0,0,35810,6000,0
0,0,0,0,0,0,0,0,36060,6000,0
0,0,0,0,0,0,0,0,36311,6000,0
0,0,0,0,0,0,0,0,36561,6000,0
0,0,0,0,0,0,0,0,36811,6000,0
0,0,0,0,0,0,0,0,37062,6000,0
0,0,0,0,0,0,0,0,37312,6000,0
0,0,0,0,0,0,0,0,37563,6000,0
0,0,0,0,0,0,0,0,37813,6000,0
0,0,0,0,0,0,0,0,38063,6000,0
0,0,0,0,0,0,0,0,38314,6000,0
0,0,0,0,0,0,0,0,38564,6000,0
0,0,0,0,0,0,0,0,38815,6000,0
0,0,0,0,0,0,0,0,39065,6000,0
0,0,0,0,0,0,0,0,39316,6000,0
0,0,0,0,0,0,0,0,39566,6000,0
0,0,0,0,0,0,0,0,39816,6000,0
0,0,0,0,0,0,0,0,40067,6000,0
0,0,0,0,0,0,0,0,40317,6000,0
0,0,0,0,0,0,0,0,40568,6000,0
0,0,0,0,0,0,0,0,40818,6000,0
0,0,0,0,0,0,0,0,41068,6000,0
0,0,0,0,0,0,0,0,41319,6000,0
0,0,0,0,0,0,0,0,41569,6000,0
0,0,0,0,0,0,0,0,41820,6000,0
0,0,0,0,0,0,0,0,42070,6000,0
0,0,0,0,0,0,0,0,42321,6000,0
0,0,0,0,0,0,0,0,42571,6000,0
0,0,0,0,0,0,0,0,42821,6000,0
0,0,0,0,0,0,0,0,43072,6000,0
0,0,0,0,0,0,0,0,43322,6000,0
0,0,0,0,0,0,0,0,43573,6000,0
0,0,0,0,0,0,0,0,43823,6000,0
0,0,0,0,0,0,0,0,44073,6000,0
0,0,0,0,0,0,0,0,44324,6000,0
0,0,0,0,0,0,0,0,44574,6000,0
0,0,0,0,0,0,0,0,44825,6000,0
0,0,0,0,0,0,0,0,45075,6000,0
0,0,0,0,0,0,0,0,45326,6000,0
0,0,0,0,0,0,0,0,45576,6000,0
0,0,0,0,0,0,0,0,45826,6000,0
0,0,0,0,0,0,0,0,46077,6000,0
0,0,0,0,0,0,0,0,46327,6000,0
0,0,0,0,0,0,0,0,46578,6000,0
0,0,0,0,0,0,0,0,46828,6000,0
0,0,0,0,0,0,0,0,47078,6000,0
0,0,0,0,0,0,0,0,47329,6000,0
0,0,0,0,0,0,0,0,47579,6000,0
0,0,0,0,0,0,0,0,47830,6000,0
0,0,0,0,0,0,0,0,48080,6000,0
0,0,0,0,0,0,0,0,48331,6000,0
0,0,0,0,0,0,0,0,48581,6000,0
0,0,0,0,0,0,0,0,48831,6000,0
0,0,0,0,0,0,0,0,49082,6000,0
0,0,0,0,0,0,0,0,49332,6000,0
0,0,0,0,0,0,0,0,49583,6000,0
0,0,0,0,0,0,0,0,49833,6000,0
0,0,0,0,0,0,0,0,50083,6000,0
0,0,0,0,0,0,0,0,50334,6000,0
0,0,0,0,0,0,0,0,50584,6000,0
0,0,0,0,0,0,0,0,50835,6000,0
0,0,0,0,0,0,0,0,51085,6000,0
0,0,0,0,0,0,0,0,51336,6000,0
0,0,0,0,0,0,0,0,51586,6000,0
0,0,0,0,0,0,0,0,51836,6000,0
0,0,0,0,0,0,0,0,52087,6000,0
0,0,0,0,0,0,0,0,52337,6000,0
0,0,0,0,0,0,0,0,52588,6000,0
0,0,0,0,0,0,0,0,52838,6000,0
0,0,0,0,0,0,0,0,53088,6000,0
0,0,0,0,0,0,0,0,53339,6000,0
0,0,0,0,0,0,0,0,53589,6000,0
0,0,0,0,0,0,0,0,53840,6000,0
0,0,0,0,0,0,0,0,54090,6000,0
0,0,0,0,0,0,0,0,54341,6000,0
0,0,0,0,0,0,0,0,54591,6000,0
0,0,0,0,0,0,0,0,54841,6000,0
0,0,0,0,0,0,0,0,55092,6000,0
0,0,0,0,0,0,0,0,55342,6000,0
0,0,0,0,0,0,0,0,55593,6000,0
0,0,0,0,0,0,0,0,55843,6000,0
0,0,0,0,0,0,0,0,56093,6000,0
0,0,0,0,0,0,0,0,56344,6000,0
0,0,0,0,0,0,0,0,56594,6000,0
0,0,0,0,0,0,0,0,56845,6000,0
0,0,0,0,0,0,0,0,57095,6000,0
0,0,0,0,0,0,0,0,57346,6000,0
0,0,0,0,0,0,0,0,57596,6000,0
0,0,0,0,0,0,0,0,57846,6000,0
0,0,0,0,0,0,0,0,58097,6000,0
0,0,0,0,0,0,0,0,58347,6000,0
0,0,0,0,0,0,0,0,58598,6000,0
0,0,0,0,0,0,0,0,58848,6000,0
0,0,0,0,0,0,0,0,59098,6000,0
0,0,0,0,0,0,0,0,59349,6000,0
0,0,0,0,0,0,0,0,59599,6000,0
0,0,0,0,0,0,0,0,59850,6000,0
0,0,0,0,0,0,0,0,60100,6000,0
0,0,0,0,0,0,0,0,60351,6000,0
0,0,0,0,0,0,0,0,60601,6000,0
0,0,0,0,0,0,0,0,60851,6000,0
0,0,0,0,0,0,0,0,61102,6000,0
0,0,0,0,0,0,0,0,61352,6000,0
0,0,0,0,0,0,0,0,61603,6000,0
0,0,0,0,0,0,0,0,61853,6000,0
0,0,0,0,0,0,0,0,62104,6000,0
0,0,0,0,0,0,0,0,62354,6000,0
0,0,0,0,0,0,0,0,62604,6000,0
0,0,0,0,0,0,0,0,62855,6000,0
0,0,0,0,0,0,0,0,63105,6000,0
0,0,0,0,0,0,0,0,63356,6000,0
0,0,0,0,0,0,0,0,63606,6000,0
0,0,0,0,0,0,0,0,63856,6000,0
0,0,0,0,0,0,0,0,64107,6000,0
0,0,0,0,0,0,0,0,64357,6000,0
0,0,0,0,0,0,0,0,64608,6000,0
0,0,0,0,0,0,0,0,64858,6000,0
0,0,0,0,0,0,0,0,65109,6000,0
0,0,0,0,0,0,0,0,65359,6000,0
0,0,0,0,0,0,0,0,65609,6000,0
0,0,0,0,0,0,0,0,65860,6000,0
0,0,0,0,0,0,0,0,66110,6000,0
0,0,0,0,0,0,0,0,66361,6000,0
0,0,0,0,0,0,0,0,66611,6000,0
0,0,0,0,0,0,0,0,66861,6000,0
