"density","qcloud","qrain","qvapor","theta","velocity:0","velocity:1","velocity:2","Points:0","Points:1","Points:2"
0,0,0,0,0,0,0,0,0,6000,0
0,0,0,0,0,0,0,0,200.27,6000,0
0,0,0,0,0,0,0,0,400.53,6000,0
0,0,0,0,0,0,0,0,600.8,6000,0
0,0,0,0,0,0,0,0,801.07,6000,0
0,0,0,0,0,0,0,0,1001.3,6000,0
0,0,0,0,0,0,0,0,1201.6,6000,0
0,0,0,0,0,0,0,0,1401.9,6000,0
0,0,0,0,0,0,0,0,1602.1,6000,0
0,0,0,0,0,0,0,0,1802.4,6000,0
0,0,0,0,0,0,0,0,2002.7,6000,0
0,0,0,0,0,0,0,0,2202.9,6000,0
0,0,0,0,0,0,0,0,2403.2,6000,0
0,0,0,0,0,0,0,0,2603.5,6000,0
0,0,0,0,0,0,0,0,2803.7,6000,0
0,0,0,0,0,0,0,0,3004,6000,0
0,0,0,0,0,0,0,0,3204.3,6000,0
0,0,0,0,0,0,0,0,3404.5,6000,0
0,0,0,0,0,0,0,0,3604.8,6000,0
0,0,0,0,0,0,0,0,3805.1,6000,0
0,0,0,0,0,0,0,0,4005.3,6000,0
0,0,0,0,0,0,0,0,4205.6,6000,0
0,0,0,0,0,0,0,0,4405.9,6000,0
0,0,0,0,0,0,0,0,4606.1,6000,0
0,0,0,0,0,0,0,0,4806.4,6000,0
0,0,0,0,0,0,0,0,5006.7,6000,0
0,0,0,0,0,0,0,0,5206.9,6000,0
0,0,0,0,0,0,0,0,5407.2,6000,0
0,0,0,0,0,0,0,0,5607.5,6000,0
0,0,0,0,0,0,0,0,5807.7,6000,0
0,0,0,0,0,0,0,0,6008,6000,0
0,0,0,0,0,0,0,0,6208.3,6000,0
0,0,0,0,0,0,0,0,6408.5,6000,0
0,0,0,0,0,0,0,0,6608.8,6000,0
0,0,0,0,0,0,0,0,6809.1,6000,0
0,0,0,0,0,0,0,0,7009.3,6000,0
0,0,0,0,0,0,0,0,7209.6,6000,0
0,0,0,0,0,0,0,0,7409.9,6000,0
0,0,0,0,0,0,0,0,7610.1,6000,0
0,0,0,0,0,0,0,0,7810.4,6000,0
0,0,0,0,0,0,0,0,8010.7,6000,0
0,0,0,0,0,0,0,0,8210.9,6000,0
0,0,0,0,0,0,0,0,8411.2,6000,0
0,0,0,0,0,0,0,0,8611.5,6000,0
0,0,0,0,0,0,0,0,8811.7,6000,0
0,0,0,0,0,0,0,0,9012,6000,0
0,0,0,0,0,0,0,0,9212.3,6000,0
0,0,0,0,0,0,0,0,9412.5,6000,0
0,0,0,0,0,0,0,0,9612.8,6000,0
0,0,0,0,0,0,0,0,9813.1,6000,0
0,0,0,0,0,0,0,0,10013,6000,0
0,0,0,0,0,0,0,0,10214,6000,0
0,0,0,0,0,0,0,0,10414,6000,0
0,0,0,0,0,0,0,0,10614,6000,0
0,0,0,0,0,0,0,0,10814,6000,0
0,0,0,0,0,0,0,0,11015,6000,0
0,0,0,0,0,0,0,0,11215,6000,0
0,0,0,0,0,0,0,0,11415,6000,0
0,0,0,0,0,0,0,0,11615,6000,0
0,0,0,0,0,0,0,0,11816,6000,0
0,0,0,0,0,0,0,0,12016,6000,0
0,0,0,0,0,0,0,0,12216,6000,0
0,0,0,0,0,0,0,0,12417,6000,0
0,0,0,0,0,0,0,0,12617,6000,0
0,0,0,0,0,0,0,0,12817,6000,0
0,0,0,0,0,0,0,0,13017,6000,0
0,0,0,0,0,0,0,0,13218,6000,0
0,0,0,0,0,0,0,0,13418,6000,0
0,0,0,0,0,0,0,0,13618,6000,0
0,0,0,0,0,0,0,0,13818,6000,0
0,0,0,0,0,0,0,0,14019,6000,0
0,0,0,0,0,0,0,0,14219,6000,0
0,0,0,0,0,0,0,0,14419,6000,0
0,0,0,0,0,0,0,0,14619,6000,0
0,0,0,0,0,0,0,0,14820,6000,0
0,0,0,0,0,0,0,0,15020,6000,0
0,0,0,0,0,0,0,0,15220,6000,0
0,0,0,0,0,0,0,0,15421,6000,0
0,0,0,0,0,0,0,0,15621,6000,0
0,0,0,0,0,0,0,0,15821,6000,0
0,0,0,0,0,0,0,0,16021,6000,0
0,0,0,0,0,0,0,0,16222,6000,0
0,0,0,0,0,0,0,0,16422,6000,0
0,0,0,0,0,0,0,0,16622,6000,0
0,0,0,0,0,0,0,0,16822,6000,0
0,0,0,0,0,0,0,0,17023,6000,0
0,0,0,0,0,0,0,0,17223,6000,0
0,0,0,0,0,0,0,0,17423,6000,0
0,0,0,0,0,0,0,0,17623,6000,0
0,0,0,0,0,0,0,0,17824,6000,0
0,0,0,0,0,0,0,0,18024,6000,0
0,0,0,0,0,0,0,0,18224,6000,0
0,0,0,0,0,0,0,0,18425,6000,0
0,0,0,0,0,0,0,0,18625,6000,0
0,0,0,0,0,0,0,0,18825,6000,0
0,0,0,0,0,0,0,0,19025,6000,0
0,0,0,0,0,0,0,0,19226,6000,0
0,0,0,0,0,0,0,0,19426,6000,0
0,0,0,0,0,0,0,0,19626,6000,0
0,0,0,0,0,0,0,0,19826,6000,0
0,0,0,0,0,0,0,0,20027,6000,0
0,0,0,0,0,0,0,0,20227,6000,0
0,0,0,0,0,0,0,0,20427,6000,0
0,0,0,0,0,0,0,0,20628,6000,0
0,0,0,0,0,0,0,0,20828,6000,0
0,0,0,0,0,0,0,0,21028,6000,0
0,0,0,0,0,0,0,0,21228,6000,0
0,0,0,0,0,0,0,0,21429,6000,0
0,0,0,0,0,0,0,0,21629,6000,0
0,0,0,0,0,0,0,0,21829,6000,0
0,0,0,0,0,0,0,0,22029,6000,0
0,0,0,0,0,0,0,0,22230,6000,0
0,0,0,0,0,0,0,0,22430,6000,0
0,0,0,0,0,0,0,0,22630,6000,0
0,0,0,0,0,0,0,0,22830,6000,0
0,0,0,0,0,0,0,0,23031,6000,0
0,0,0,0,0,0,0,0,23231,6000,0
0,0,0,0,0,0,0,0,23431,6000,0
0,0,0,0,0,0,0,0,23632,6000,0
0,0,0,0,0,0,0,0,23832,6000,0
0,0,0,0,0,0,0,0,24032,6000,0
0,0,0,0,0,0,0,0,24232,6000,0
0,0,0,0,0,0,0,0,24433,6000,0
0,0,0,0,0,0,0,0,24633,6000,0
0,0,0,0,0,0,0,0,24833,6000,0
0,0,0,0,0,0,0,0,25033,6000,0
0,0,0,0,0,0,0,0,25234,6000,0
0,0,0,0,0,0,0,0,25434,6000,0
0,0,0,0,0,0,0,0,25634,6000,0
0,0,0,0,0,0,0,0,25834,6000,0
0,0,0,0,0,0,0,0,26035,6000,0
0,0,0,0,0,0,0,0,26235,6000,0
0,0,0,0,0,0,0,0,26435,6000,0
0,0,0,0,0,0,0,0,26636,6000,0
0,0,0,0,0,0,0,0,26836,6000,0
0,0,0,0,0,0,0,0,27036,6000,0
0,0,0,0,0,0,0,0,27236,6000,0
0,0,0,0,0,0,0,0,27437,6000,0
0,0,0,0,0,0,0,0,27637,6000,0
0,0,0,0,0,0,0,0,27837,6000,0
0,0,0,0,0,0,0,0,28037,6000,0
0,0,0,0,0,0,0,0,28238,6000,0
0,0,0,0,0,0,0,0,28438,6000,0
0,0,0,0,0,0,0,0,28638,6000,0
0,0,0,0,0,0,0,0,28838,6000,0
0,0,0,0,0,0,0,0,29039,6000,0
0,0,0,0,0,0,0,0,29239,6000,0
0,0,0,0,0,0,0,0,29439,6000,0
0,0,0,0,0,0,0,0,29640,6000,0
0,0,0,0,0,0,0,0,29840,6000,0
0,0,0,0,0,0,0,0,30040,6000,0
0,0,0,0,0,0,0,0,30240,6000,0
0,0,0,0,0,0,0,0,30441,6000,0
0,0,0,0,0,0,0,0,30641,6000,0
0,0,0,0,0,0,0,0,30841,6000,0
0,0,0,0,0,0,0,0,31041,6000,0
0,0,0,0,0,0,0,0,31242,6000,0
0,0,0,0,0,0,0,0,31442,6000,0
0,0,0,0,0,0,0,0,31642,6000,0
0,0,0,0,0,0,0,0,31842,6000,0
0,0,0,0,0,0,0,0,32043,6000,0
0,0,0,0,0,0,0,0,32243,6000,0
0,0,0,0,0,0,0,0,32443,6000,0
0,0,0,0,0,0,0,0,32644,6000,0
0,0,0,0,0,0,0,0,32844,6000,0
0,0,0,0,0,0,0,0,33044,6000,0
0,0,0,0,0,0,0,0,33244,6000,0
0,0,0,0,0,0,0,0,33445,6000,0
0,0,0,0,0,0,0,0,33645,6000,0
0,0,0,0,0,0,0,0,33845,6000,0
0,0,0,0,0,0,0,0,34045,6000,0
0,0,0,0,0,0,0,0,34246,6000,0
0,0,0,0,0,0,0,0,34446,6000,0
0,0,0,0,0,0,0,0,34646,6000,0
0,0,0,0,0,0,0,0,34846,6000,0
0,0,0,0,0,0,0,0,35047,6000,0
0,0,0,0,0,0,0,0,35247,6000,0
0,0,0,0,0,0,0,0,35447,6000,0
0,0,0,0,0,0,0,0,35648,6000,0
0,0,0,0,0,0,0,0,35848,6000,0
0,0,0,0,0,0,0,0,36048,6000,0
0,0,0,0,0,0,0,0,36248,6000,0
0,0,0,0,0,0,0,0,36449,6000,0
0,0,0,0,0,0,0,0,36649,6000,0
0,0,0,0,0,0,0,0,36849,6000,0
0,0,0,0,0,0,0,0,37049,6000,0
0,0,0,0,0,0,0,0,37250,6000,0
0,0,0,0,0,0,0,0,37450,6000,0
0,0,0,0,0,0,0,0,37650,6000,0
0,0,0,0,0,0,0,0,37850,6000,0
0,0,0,0,0,0,0,0,38051,6000,0
0,0,0,0,0,0,0,0,38251,6000,0
0,0,0,0,0,0,0,0,38451,6000,0
0,0,0,0,0,0,0,0,38652,6000,0
0,0,0,0,0,0,0,0,38852,6000,0
0,0,0,0,0,0,0,0,39052,6000,0
0,0,0,0,0,0,0,0,39252,6000,0
0,0,0,0,0,0,0,0,39453,6000,0
0,0,0,0,0,0,0,0,39653,6000,0
0,0,0,0,0,0,0,0,39853,6000,0
0,0,0,0,0,0,0,0,40053,6000,0
0,0,0,0,0,0,0,0,40254,6000,0
0,0,0,0,0,0,0,0,40454,6000,0
0,0,0,0,0,0,0,0,40654,6000,0
0,0,0,0,0,0,0,0,40854,6000,0
0,0,0,0,0,0,0,0,41055,6000,0
0,0,0,0,0,0,0,0,41255,6000,0
0,0,0,0,0,0,0,0,41455,6000,0
0,0,0,0,0,0,0,0,41656,6000,0
0,0,0,0,0,0,0,0,41856,6000,0
0,0,0,0,0,0,0,0,42056,6000,0
0,0,0,0,0,0,0,0,42256,6000,0
0,0,0,0,0,0,0,0,42457,6000,0
0,0,0,0,0,0,0,0,42657,6000,0
0,0,0,0,0,0,0,0,42857,6000,0
0,0,0,0,0,0,0,0,43057,6000,0
0,0,0,0,0,0,0,0,43258,6000,0
0,0,0,0,0,0,0,0,43458,6000,0
0,0,0,0,0,0,0,0,43658,6000,0
0,0,0,0,0,0,0,0,43858,6000,0
0,0,0,0,0,0,0,0,44059,6000,0
0,0,0,0,0,0,0,0,44259,6000,0
0,0,0,0,0,0,0,0,44459,6000,0
0,0,0,0,0,0,0,0,44660,6000,0
0,0,0,0,0,0,0,0,44860,6000,0
0,0,0,0,0,0,0,0,45060,6000,0
0,0,0,0,0,0,0,0,45260,6000,0
0,0,0,0,0,0,0,0,45461,6000,0
0,0,0,0,0,0,0,0,45661,6000,0
